# species: Drosophila melanogaster
# support: EXP, IMP, HMP, HEP, IDA, IGI, HGI, IPI, IEP, HDA
# associations retrieved on: 2019-04-24 10:40:28-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.fb.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:16-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: flybasecgid_gene
#   coverage: 99.4%
# size of "genespace": 12880
# number of attributes: 8227
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000001	mitochondrion inheritance	CG42551 CG8862
GO:0050795	regulation of behavior	CG10443 CG10521 CG10537 CG1056 CG10593 CG10626 CG1063 CG10733 CG10830 CG11084 CG11086 CG11136 CG11199 CG11324 CG11761 CG11785 CG11895 CG12108 CG12348 CG1242 CG13094 CG13480 CG13570 CG13758 CG1543 CG15433 CG16720 CG16752 CG16801 CG17051 CG1712 CG1765 CG17673 CG17697 CG1826 CG18361 CG18657 CG18741 CG1967 CG2248 CG2647 CG2835 CG3143 CG31721 CG32156 CG3234 CG32810 CG33104 CG33105 CG33275 CG33304 CG33472 CG33527 CG33943 CG34100 CG3478 CG3564 CG3772 CG3856 CG40733 CG42273 CG42341 CG42616 CG43128 CG43388 CG43758 CG4379 CG45058 CG4561 CG4916 CG5166 CG5216 CG5517 CG6103 CG6203 CG6407 CG6456 CG6496 CG6671 CG6892 CG7100 CG7391 CG7395 CG7433 CG7442 CG7659 CG8075 CG8167 CG8250 CG8416 CG8585 CG8713 CG8727 CG9023 CG9053 CG9122 CG9533 CG9553 CG9652 CG9659 CR42744 CR42907 CR42946 CR42950 CR42963 CR43028 CR43040
GO:0050796	regulation of insulin secretion	CG16987 CG5315 CG6706 CG8566
GO:0050801	ion homeostasis	CG10006 CG10523 CG10626 CG1063 CG11825 CG13176 CG13480 CG13758 CG14036 CG14209 CG1469 CG14757 CG15520 CG15618 CG15917 CG16944 CG1709 CG17369 CG17680 CG17723 CG17766 CG18090 CG1844 CG18769 CG1886 CG2114 CG2216 CG2845 CG2902 CG30377 CG31860 CG32446 CG33192 CG3476 CG3585 CG3671 CG3725 CG3743 CG3759 CG3762 CG3856 CG3977 CG3994 CG4212 CG4214 CG42253 CG42301 CG42314 CG4312 CG44240 CG4963 CG5097 CG5284 CG5629 CG5959 CG6852 CG6908 CG7107 CG7194 CG7459 CG7609 CG7816 CG8090 CG8522 CG8743 CG9236 CG9256 CG9428 CG9470 CG9904
GO:0050802	circadian sleep/wake cycle, sleep	CG17704 CG42856 CG43388 CG6203 CG8585
GO:0050803	regulation of synapse structure or activity	CG10047 CG10295 CG12399 CG14296 CG15078 CG1618 CG18102 CG2095 CG3139 CG33547 CG34157 CG3664 CG3665 CG4006 CG40452 CG4141 CG42317 CG42344 CG42576 CG4276 CG43398 CG44128 CG4432 CG5686 CG6121 CG6562 CG6856 CG7524 CG8183 CG8776 CG8884 CG9972 CR43003
GO:0050804	modulation of synaptic transmission	CG10047 CG10537 CG10693 CG10719 CG10967 CG11144 CG11172 CG12108 CG12348 CG12473 CG12559 CG12919 CG13772 CG15078 CG1618 CG16725 CG17759 CG17762 CG17838 CG18039 CG18102 CG18250 CG1826 CG1977 CG2346 CG30040 CG3060 CG3139 CG32490 CG33472 CG33547 CG33670 CG3388 CG34058 CG34059 CG34157 CG3665 CG3747 CG4006 CG40452 CG4141 CG42273 CG42317 CG42344 CG42576 CG42665 CG42734 CG43128 CG43368 CG43749 CG4379 CG43955 CG44128 CG4432 CG4574 CG5370 CG5483 CG5562 CG5686 CG5870 CG5907 CG5977 CG6097 CG6121 CG6203 CG6395 CG6531 CG6605 CG6703 CG6706 CG6757 CG6856 CG6992 CG7050 CG7061 CG7212 CG7442 CG7524 CG7887 CG8250 CG8408 CG8585 CG8776 CG8884 CG9335 CG9339 CG9755 CG9972 CR42937 CR43026
GO:0050805	negative regulation of synaptic transmission	CG10537 CG10693 CG11172 CG12919 CG13772 CG30040 CG32490 CG4006 CG42734 CG43749 CG5370 CG5977 CG6531 CG6706 CG7442 CG7887 CG8250 CG9339 CR42937 CR43026
GO:0050806	positive regulation of synaptic transmission	CG12108 CG16725 CG1977 CG2346 CG42273 CG43955 CG5686 CG5870 CG5977 CG6605 CG6703 CG6757 CG6856 CG7050 CG8408
GO:0050807	regulation of synapse organization	CG10023 CG10043 CG10067 CG10083 CG10229 CG10236 CG10260 CG10295 CG10327 CG10497 CG10688 CG10693 CG10719 CG10776 CG10967 CG11181 CG11206 CG11526 CG11711 CG11793 CG11895 CG1200 CG12001 CG12292 CG12295 CG12399 CG12530 CG13772 CG14001 CG1401 CG14026 CG14521 CG14895 CG15015 CG15112 CG1512 CG1520 CG16932 CG16983 CG17158 CG17184 CG1725 CG17596 CG1762 CG1775 CG17838 CG18069 CG18110 CG18214 CG1891 CG1977 CG2086 CG2095 CG2204 CG2248 CG2621 CG2715 CG30021 CG30173 CG3060 CG3114 CG32067 CG32592 CG33094 CG33101 CG33202 CG33976 CG3403 CG34387 CG3458 CG3665 CG3682 CG3696 CG4006 CG4032 CG4141 CG42273 CG42279 CG42338 CG42734 CG4320 CG43368 CG43479 CG43749 CG43955 CG44128 CG4643 CG4755 CG4905 CG4931 CG5092 CG5166 CG5201 CG5208 CG5483 CG5562 CG5637 CG5723 CG5733 CG5753 CG5771 CG5870 CG5977 CG6048 CG6121 CG6147 CG6190 CG6203 CG6224 CG6410 CG6490 CG6668 CG6703 CG6811 CG6856 CG6919 CG6975 CG7050 CG7152 CG7393 CG7524 CG7558 CG7662 CG7861 CG7892 CG8095 CG8203 CG8287 CG8318 CG8428 CG8566 CG8732 CG8743 CG8789 CG8846 CG9172 CG9638 CG9755 CG9862 CG9901 CR42988
GO:0050808	synapse organization	CG10067 CG10095 CG10105 CG10117 CG10327 CG10443 CG10743 CG10776 CG1081 CG10946 CG10967 CG1099 CG11144 CG11199 CG11282 CG11320 CG11926 CG1210 CG12191 CG12295 CG12591 CG13140 CG13253 CG13439 CG13626 CG13772 CG1401 CG14010 CG14162 CG14447 CG14521 CG14948 CG14994 CG15319 CG15433 CG1634 CG16725 CG16944 CG17228 CG1725 CG1743 CG17596 CG17943 CG18005 CG18090 CG18319 CG18405 CG2253 CG2275 CG2374 CG2621 CG2835 CG30040 CG30077 CG30483 CG31146 CG31240 CG31361 CG31641 CG31646 CG31708 CG32057 CG32146 CG32490 CG32592 CG32600 CG32743 CG32791 CG33202 CG33208 CG33481 CG33485 CG33507 CG33512 CG33516 CG33956 CG33996 CG34127 CG34385 CG34391 CG3665 CG3985 CG4141 CG42279 CG42301 CG4233 CG42338 CG42343 CG42368 CG42596 CG42734 CG42783 CG44328 CG44835 CG4699 CG4871 CG5014 CG5055 CG5092 CG5308 CG5451 CG5483 CG5490 CG5514 CG5562 CG5670 CG5723 CG5744 CG5837 CG5884 CG5907 CG6103 CG6114 CG6203 CG6369 CG6539 CG6668 CG6992 CG7050 CG7549 CG7727 CG7913 CG8002 CG8201 CG8428 CG8444 CG8536 CG8566 CG8959 CG9063 CG9520 CG9533 CG9739 CG9749 CR42988
GO:0050810	regulation of steroid biosynthetic process	CG11762 CG1319 CG13687 CG33100 CG4205 CG8971
GO:0050811	GABA receptor binding	CG45058
GO:0050815	phosphoserine binding	CG31196
GO:0050817	coagulation	CG11313 CG11314 CG11315 CG1469 CG15825 CG4306 CG7002 CG7356 CG7604 CG8502
GO:0050821	protein stabilization	CG10855 CG11761 CG11958 CG14884 CG1500 CG15738 CG15797 CG17090 CG17753 CG17870 CG17927 CG18332 CG2038 CG3135 CG3274 CG3889 CG42522 CG5486 CG6235 CG6359 CG6383 CG6932 CG8295 CG8725 CG9556 CG9617
GO:0050829	defense response to Gram-negative bacterium	CG10146 CG10245 CG10816 CG11128 CG11312 CG1180 CG11992 CG12297 CG12737 CG12752 CG12763 CG12919 CG13072 CG1365 CG1367 CG1373 CG13890 CG13994 CG14226 CG1435 CG14411 CG14722 CG14991 CG1548 CG16705 CG16718 CG16910 CG17680 CG18492 CG18594 CG1878 CG1891 CG1898 CG1945 CG2051 CG2056 CG2708 CG2849 CG3048 CG32185 CG32190 CG32382 CG32383 CG32464 CG32795 CG4201 CG42358 CG42359 CG4241 CG42564 CG43720 CG4432 CG4443 CG5014 CG5029 CG5241 CG5429 CG5517 CG5648 CG5899 CG5993 CG6134 CG6137 CG6168 CG6187 CG6223 CG6593 CG6673 CG7052 CG7123 CG7199 CG7221 CG7223 CG7254 CG7364 CG7486 CG7496 CG7749 CG7843 CG8068 CG8175 CG8266 CG8293 CG8403 CG8580 CG8804 CG9080 CG9334 CG9473 CG9613 CG9878 CG9925
GO:0050830	defense response to Gram-positive bacterium	CG10146 CG10794 CG10816 CG11709 CG13551 CG1365 CG1367 CG1373 CG1385 CG14027 CG14704 CG15066 CG16705 CG17998 CG18372 CG18594 CG1878 CG2056 CG2078 CG30098 CG31217 CG32185 CG32382 CG32383 CG4740 CG5896 CG6124 CG6134 CG6367 CG6639 CG6794 CG6895 CG7068 CG7496 CG7629 CG8175 CG8193 CG8458 CG8995 CG9080 CG9613 CG9675
GO:0050831	male-specific defense response to bacterium	CG1361
GO:0050832	defense response to fungus	CG10520 CG10812 CG11331 CG12004 CG12317 CG12744 CG16705 CG17835 CG18497 CG1857 CG2056 CG2078 CG31884 CG32274 CG32279 CG32282 CG32283 CG32382 CG32383 CG3722 CG4029 CG42679 CG4466 CG5109 CG5118 CG5248 CG5475 CG5490 CG5748 CG5848 CG5896 CG5974 CG6134 CG6367 CG6601 CG6794 CG7263 CG7393 CG7563 CG7586 CG7769 CG8175 CG8193 CG9446 CG9456 CG9613 CG9675
GO:0050833	pyruvate transmembrane transporter activity	CG3979
GO:0050839	cell adhesion molecule binding	CG10263 CG10933 CG11527 CG14396 CG1771 CG31012 CG32096 CG32434 CG3352 CG3653 CG3727 CG42612 CG43140 CG43224 CG5675 CG6831 CG7100 CG7595 CG7749 CG8967 CG9749
GO:0050840	extracellular matrix binding	CG1771 CG5993 CG9623
GO:0050843	S-adenosylmethionine catabolic process	CG6188
GO:0050848	regulation of calcium-mediated signaling	CG10633 CG15685 CG2621 CG32704 CG34399 CG5751 CG6072 CG6459 CG8317
GO:0050850	positive regulation of calcium-mediated signaling	CG10633 CG15685 CG32704 CG34399 CG5751
GO:0050877	neurological system process	CG10033 CG1004 CG10079 CG10101 CG10251 CG1031 CG10334 CG10426 CG10460 CG10491 CG1058 CG10609 CG10612 CG1063 CG10642 CG10671 CG10697 CG10901 CG10936 CG10952 CG11020 CG11111 CG11144 CG11218 CG11253 CG11371 CG11387 CG11456 CG11513 CG11575 CG11579 CG11604 CG11638 CG11671 CG11711 CG11715 CG11759 CG11797 CG11820 CG11838 CG11865 CG11878 CG11937 CG11988 CG12026 CG12120 CG1216 CG12193 CG12530 CG12548 CG12663 CG12754 CG12831 CG12906 CG13047 CG13069 CG13074 CG13110 CG13207 CG13225 CG13243 CG13308 CG13439 CG13636 CG13695 CG1386 CG13874 CG13888 CG14075 CG14086 CG1411 CG14226 CG14252 CG14274 CG14442 CG1455 CG14585 CG14620 CG14636 CG14686 CG14734 CG14921 CG14987 CG14994 CG1501 CG15148 CG15154 CG15167 CG1517 CG15254 CG1543 CG15444 CG1560 CG15627 CG15732 CG15779 CG15860 CG1594 CG16707 CG16720 CG16775 CG16852 CG16960 CG16961 CG17063 CG1712 CG17213 CG17228 CG17348 CG17569 CG17596 CG17632 CG1765 CG17650 CG1768 CG1770 CG17704 CG1771 CG17759 CG17762 CG17853 CG17870 CG18069 CG18102 CG1817 CG18213 CG18249 CG18287 CG18314 CG18345 CG18408 CG1847 CG18480 CG1854 CG18769 CG18806 CG1910 CG1954 CG2171 CG2204 CG2212 CG2248 CG2371 CG2621 CG2647 CG2698 CG2759 CG2835 CG2902 CG2922 CG2977 CG2995 CG30077 CG30186 CG30263 CG30384 CG30418 CG31006 CG31148 CG31163 CG31267 CG31284 CG31300 CG31320 CG31414 CG31811 CG3182 CG31908 CG31911 CG31962 CG3206 CG32062 CG32067 CG3213 CG32150 CG32176 CG32179 CG32255 CG32256 CG32257 CG32258 CG32261 CG32278 CG3249 CG32498 CG32592 CG32594 CG3265 CG32698 CG32704 CG33194 CG33207 CG3330 CG33348 CG33513 CG33517 CG3361 CG33957 CG34058 CG34100 CG3411 CG34371 CG34383 CG34387 CG34401 CG3497 CG3504 CG3604 CG3665 CG3671 CG3696 CG3711 CG3717 CG3723 CG3740 CG3772 CG3856 CG3923 CG3936 CG3937 CG3985 CG4032 CG4073 CG4122 CG4211 CG42247 CG42273 CG4231 CG42341 CG42344 CG4257 CG42573 CG42584 CG42667 CG42698 CG42734 CG4276 CG42783 CG42799 CG42864 CG43067 CG43225 CG4329 CG43313 CG43398 CG43782 CG4379 CG44011 CG44424 CG4482 CG44835 CG4495 CG4536 CG4551 CG4612 CG4821 CG4830 CG4881 CG4916 CG4919 CG5006 CG5017 CG5166 CG5192 CG5279 CG5514 CG5516 CG5526 CG5541 CG5611 CG5644 CG5650 CG5670 CG5680 CG5685 CG5686 CG5711 CG5732 CG5753 CG5803 CG5819 CG5821 CG5842 CG5912 CG5934 CG5962 CG5969 CG5993 CG5996 CG6033 CG6053 CG6072 CG6103 CG6129 CG6133 CG6136 CG6190 CG6203 CG6294 CG6312 CG6464 CG6553 CG6598 CG6669 CG6671 CG6703 CG6728 CG6783 CG6856 CG6892 CG6901 CG6963 CG6993 CG7050 CG7293 CG7314 CG7358 CG7385 CG7399 CG7422 CG7442 CG7443 CG7485 CG7508 CG7524 CG7595 CG7669 CG7672 CG7725 CG7727 CG7734 CG7778 CG7800 CG7856 CG7875 CG7897 CG7925 CG7946 CG8008 CG8024 CG8049 CG8086 CG8214 CG8253 CG8318 CG8345 CG8444 CG8472 CG8520 CG8588 CG8594 CG8663 CG8776 CG8789 CG8807 CG8817 CG8884 CG8949 CG9067 CG9195 CG9214 CG9231 CG9261 CG9262 CG9313 CG9317 CG9381 CG9398 CG9447 CG9492 CG9533 CG9623 CG9652 CG9700 CG9753 CG9755 CG9880 CG9948 CR42900 CR42973 CR43001 CR43015
GO:0050878	regulation of body fluid levels	CG11313 CG11314 CG11315 CG13094 CG13480 CG1469 CG15444 CG15825 CG18345 CG31116 CG4306 CG7002 CG7356 CG7604 CG8348 CG8502
GO:0050879	multicellular organismal movement	CG14898
GO:0050881	musculoskeletal movement	CG14898
GO:0050884	neuromuscular process controlling posture	CG4536 CG5685 CG5842 CG5996
GO:0050890	cognition	CG10033 CG1004 CG10079 CG10251 CG10334 CG10460 CG10491 CG10697 CG10901 CG10952 CG11144 CG11371 CG11513 CG11579 CG11604 CG11711 CG11820 CG11937 CG11988 CG1411 CG14226 CG1455 CG14994 CG15154 CG1543 CG1594 CG16707 CG16720 CG17063 CG17348 CG17569 CG17596 CG1765 CG1770 CG17704 CG17762 CG17870 CG18069 CG18102 CG1817 CG18314 CG18769 CG1910 CG1954 CG2248 CG2621 CG2647 CG2759 CG2902 CG2922 CG2977 CG2995 CG30077 CG30418 CG31148 CG31414 CG31811 CG31911 CG32062 CG32067 CG32179 CG3249 CG32498 CG32592 CG32594 CG33207 CG33513 CG33517 CG3361 CG34100 CG3411 CG34387 CG3497 CG3665 CG3696 CG3856 CG3923 CG3936 CG3937 CG3985 CG4032 CG4122 CG42273 CG42341 CG42344 CG4257 CG42573 CG42734 CG4276 CG42783 CG42799 CG43067 CG43398 CG43782 CG4379 CG44011 CG44424 CG4482 CG44835 CG4495 CG4612 CG4821 CG4916 CG4919 CG5017 CG5166 CG5514 CG5541 CG5650 CG5680 CG5686 CG5732 CG5753 CG5803 CG5912 CG5993 CG6033 CG6072 CG6103 CG6133 CG6190 CG6203 CG6598 CG6669 CG6671 CG6703 CG6783 CG6856 CG6963 CG6993 CG7050 CG7399 CG7442 CG7524 CG7725 CG7727 CG7734 CG7875 CG7897 CG8024 CG8049 CG8214 CG8253 CG8318 CG8444 CG8588 CG8776 CG8789 CG8817 CG8884 CG8949 CG9195 CG9214 CG9262 CG9381 CG9533 CG9652 CG9753 CG9755 CR42973 CR43001
GO:0050891	multicellular organismal water homeostasis	CG15444 CG31116
GO:0050892	intestinal absorption	CG12092
